,train_r2,train_mae,train_rmse,val_r2,val_mae,val_rmse,cv_r2_mean,cv_r2_std
Ensemble,0.7325217798741709,13.350553479336108,16.19139114325676,0.4877813580123539,16.00312466839574,18.08671287688644,-0.05085861489613534,0.31776026160101356
RandomForest,0.52495203423533,18.793751599513687,21.577875521875868,0.42804770381946766,14.483242127357983,19.11225177870979,-0.441478965575217,0.7136585169461285
GradientBoosting,0.736814583033858,12.339087103170296,16.060936417188717,0.38042458398581336,16.9197395577567,19.89202712105888,0.05261560372434833,0.3350219117439543
Ridge,0.7739299753774912,12.10130480344678,14.885431991561223,0.3790312013383724,13.931375714811265,19.91438246204854,0.07911323513211636,0.5158602527671182
HistGradientBoosting,0.7863948864022877,10.757531407945809,14.469241812157376,0.29237605042710857,17.628438688888167,21.258529284649967,-0.17897518243967575,0.4818053864675363
SVR,0.8445442859137593,7.215719774566457,12.343641419971169,-0.24712777082557702,25.447749086099517,28.22197671258613,0.1604797474916285,0.36661592262510284
