,train_r2,train_mae,train_rmse,val_r2,val_mae,val_rmse,cv_r2_mean,cv_r2_std
Ridge,0.6583782868934157,22.382958253102824,23.951872096939336,-19.487540201359902,16.937380813837475,17.967101476948873,0.16742694409467074,0.1981321067945887
HistGradientBoosting,0.0,39.57239669421487,40.97950713416009,-108.54784245477079,41.35649350649351,41.54655569173595,-0.0017348373798288241,8.468569271469217e-05
GradientBoosting,-0.0002159949008169182,39.51764522282737,40.98393257749418,-111.73238295080334,41.95875969175607,42.14610598340506,-0.00854436183562135,0.004184033724469849
Ensemble,-0.0002955960974082572,39.50834606601132,40.98556337783395,-112.27782891123594,42.06105041673255,42.247943107952544,-0.002891573447929563,2.540377155679785e-05
RandomForest,-0.0013602789779647573,39.43499628099174,41.00736944329273,-116.62674526761273,42.867898051948046,43.05128822795073,-0.0014770304480196117,0.0014341137535152093
SVR,0.9423436738292665,3.652159953814451,9.839889326152775,-148.3348045281797,48.36966233627988,48.508029186028466,-0.1152367065139801,0.09902589590796707
